Posted Holiday Speed
50 Y 48.5
50 Y 51.9
50 Y 49.1
50 N 56.7
50 Y 49.7
50 N 57.5
50 Y 51.6
50 Y 52.8
50 Y 45.4
50 Y 51.6
50 Y 50
50 Y 52.2
50 Y 48.8
50 Y 51
50 Y 46.1
50 Y 51.6
50 Y 45.2
50 Y 45.8
50 Y 52.4
50 Y 46.5
50 N 52.5
50 Y 49.7
50 Y 51.5
50 Y 47.5
50 Y 47
50 Y 49.8
50 N 56.3
50 N 56
50 Y 50.9
50 Y 54.9
50 Y 55
50 Y 49.3
50 N 54.2
50 Y 48.5
50 Y 50.1
50 Y 53.4
50 Y 51.9
50 N 51.8
50 Y 45.4
50 Y 54.2
50 Y 45.4
50 N 54.9
50 Y 56.3
50 N 53.5
50 Y 53.1
50 Y 54.8
50 Y 46.4
50 Y 46.8
50 Y 54.7
50 Y 52
50 N 57.1
50 Y 49.7
50 Y 46.8
50 Y 45.8
50 N 55.5
50 N 48.5
50 Y 47.1
50 Y 49.5
50 Y 48.8
50 Y 51.2
50 N 52.3
50 Y 52.4
50 Y 46.1
50 Y 51.2
50 Y 49.7
50 Y 48.4
50 N 58.8
50 N 56.5
50 Y 51.5
50 Y 53.6
50 Y 47.4
50 Y 49.6
50 Y 52.2
50 Y 50.1
50 Y 52.2
50 Y 49.5
50 Y 51
50 N 53.1
50 Y 51.4
50 N 56.2
50 Y 52.3
50 Y 52.9
50 Y 51.2
50 Y 51.1
50 Y 51.1
50 Y 47
50 N 54.6
50 Y 46.7
50 Y 50.2
50 N 52.3
50 Y 46.3
50 Y 54.3
50 Y 52.7
50 Y 47.3
50 Y 52.9
50 N 55.2
50 Y 51.9
50 N 54.4
50 N 55
50 Y 42.9
50 N 57.8
50 Y 51.3
50 Y 44.6
50 Y 51
50 Y 45.8
50 N 56.9
50 Y 51.8
50 Y 48.6
50 N 55.1
50 Y 47
50 Y 49.7
50 Y 49.5
50 Y 53
50 Y 51.4
50 Y 48.4
50 Y 52.8
50 Y 46.6
50 Y 47.5
50 Y 50.4
50 N 48.8
50 Y 51.5
50 N 54.4
50 Y 57.2
50 Y 50
50 Y 47.9
50 Y 50.7
50 Y 46.8
50 Y 54.2
50 Y 55.7
50 N 54.6
50 Y 53.6
50 Y 51.1
50 Y 52.4
50 Y 46.8
50 Y 47.6
50 N 52.2
50 Y 49.6
50 Y 52.2
50 Y 47.3
50 Y 54.1
50 Y 48.7
50 Y 45.2
50 Y 52.9
50 N 52.4
50 Y 46.1
50 Y 46.5
50 Y 50
50 Y 50.7
50 Y 48.4
50 Y 46.4
50 Y 52.9
50 Y 52.1
50 Y 51.2
50 N 57.3
50 N 53
50 Y 48.3
50 Y 45.8
50 N 54.8
50 N 58.5
50 Y 47.9
50 Y 53.2
50 Y 52.9
50 Y 48.8
50 N 55.2
50 Y 55
50 Y 45.7
50 Y 53
50 N 56.5
50 Y 50.1
50 N 56.1
50 Y 53.4
50 Y 54.1
50 N 60.7
50 Y 50.9
50 Y 51.4
50 Y 48.9
50 Y 44.4
50 Y 49
50 Y 49.7
50 Y 54.9
50 Y 44.1
50 Y 51.4
50 Y 51.4
50 Y 47.8
50 Y 53.7
50 Y 48.6
50 Y 53.4
50 Y 50.4
50 Y 50.2
50 Y 53.3
50 Y 51.3
50 Y 50.5
50 Y 52.6
50 Y 50.3
50 Y 50.5
50 Y 50.5
50 N 57.2
50 Y 49.2
50 Y 48
50 Y 48.5
50 N 58.2
