MaxSpend Income Partner Dependents Sex Age
70000 74000 0 0 F 48
50000 87000 1 1 M 43
50000 57000 0 0 M 44
32000 53000 1 0 F 24
45000 38000 1 0 F 42
55000 61000 0 0 F 29
60000 58000 1 0 M 44
1e+05 77000 0 0 M 53
80000 62000 0 1 M 32
33000 45000 1 1 M 33
40000 49000 1 1 F 46
65000 258000 1 0 F 52
70000 57000 1 0 M 22
40000 63000 1 1 F 36
40000 39000 0 1 F 28
28000 60000 0 0 F 49
50000 35000 1 1 M 34
60000 67000 1 0 M 51
55000 42000 1 0 M 41
65000 37000 0 0 F 22
70000 107000 1 0 M 47
33000 39000 1 1 F 33
40000 109000 1 1 F 41
80000 83000 0 0 M 59
70000 77000 1 1 M 44
50000 52000 0 1 F 32
65000 387000 0 0 F 37
29000 47000 1 1 F 27
50000 98000 1 0 M 23
50000 124000 0 0 F 30
75000 80000 0 0 F 43
70000 98000 0 0 M 24
65000 158000 0 0 F 57
60000 50000 1 1 M 50
45000 89000 1 1 F 44
70000 366000 0 0 M 60
65000 79000 1 1 F 52
55000 49000 1 0 F 29
50000 34000 1 1 M 28
70000 44000 1 1 M 27
80000 93000 1 1 M 46
65000 49000 1 1 M 42
34000 40000 1 1 F 37
55000 38000 1 1 F 37
65000 81000 0 0 F 39
40000 30000 1 1 M 32
1e+05 29000 0 0 M 35
50000 33000 1 1 M 25
1e+05 133000 1 1 M 34
50000 81000 1 1 F 28
55000 52000 0 0 M 47
45000 77000 0 0 F 38
65000 73000 0 0 M 55
55000 44000 1 1 F 32
50000 40000 1 1 M 30
35000 46000 1 1 F 28
55000 68000 1 0 M 54
65000 93000 1 1 M 24
60000 71000 0 1 F 27
45000 41000 1 0 F 25
55000 66000 0 1 F 19
75000 126000 0 0 F 29
50000 41000 1 1 F 30
40000 49000 0 0 F 34
40000 83000 1 1 F 30
50000 54000 1 1 F 31
65000 49000 1 0 F 57
40000 33000 0 0 F 26
40000 45000 1 1 F 34
50000 37000 0 0 F 41
90000 122000 0 0 M 28
65000 67000 0 0 F 24
45000 53000 0 1 F 39
34000 34000 1 1 F 34
55000 67000 1 0 M 55
35000 44000 1 1 F 32
75000 59000 1 0 M 37
60000 85000 0 0 F 36
