"size" "store" "crust"
29.4 "B" "thin"
29.63 "B" "thin"
27.06 "B" "thick"
27.45 "B" "thin"
26.59 "B" "mid"
27.16 "B" "thick"
29.15 "A" "mid"
28.78 "A" "thick"
30.05 "A" "thin"
29.38 "A" "thick"
29.14 "A" "thin"
29.24 "A" "mid"
28.97 "A" "mid"
29.98 "A" "thin"
28.93 "A" "mid"
29.47 "A" "thin"
30 "A" "thin"
30.01 "A" "thin"
28.66 "A" "mid"
30.44 "A" "thin"
28.86 "B" "thin"
26.6 "B" "thick"
26.65 "B" "mid"
26.5 "B" "thick"
26.55 "B" "mid"
26.64 "B" "thick"
26.15 "B" "mid"
28.92 "B" "thin"
26.87 "B" "thick"
26.56 "B" "mid"
26.65 "B" "mid"
26.61 "B" "thick"
28.75 "B" "thin"
29.33 "B" "thin"
29 "B" "thin"
26.34 "B" "thick"
27.2 "B" "mid"
26.61 "B" "mid"
28.73 "A" "thick"
28.48 "A" "thick"
29.01 "A" "thick"
28.73 "A" "mid"
28.6 "A" "mid"
29.59 "A" "thick"
29.04 "A" "thick"
29.03 "A" "mid"
29.75 "A" "thin"
28.95 "A" "thick"
29.38 "A" "thick"
28.72 "A" "mid"
28.6 "A" "thick"
29.9 "A" "thin"
29.4 "A" "thin"
28.99 "A" "mid"
25.98 "B" "thick"
29.04 "B" "thin"
29.01 "B" "thin"
26.67 "B" "thick"
26.97 "B" "mid"
29.37 "B" "thin"
26.09 "B" "thick"
29.32 "B" "thin"
27.12 "B" "thick"
26.37 "B" "thick"
30.35 "A" "thin"
29.08 "A" "mid"
28.29 "A" "thick"
28.97 "A" "thick"
26.83 "B" "mid"
26.74 "B" "thick"
29.82 "A" "thick"
28.67 "B" "thin"
29.11 "B" "thin"
26.45 "B" "thick"
27.04 "B" "mid"
26.93 "B" "mid"
26.41 "B" "mid"
29.19 "B" "thin"
29.42 "A" "thin"
28.65 "A" "mid"
30.51 "A" "thin"
29.32 "A" "mid"
28.68 "A" "thick"
29.66 "B" "thin"
29.17 "B" "thin"
26.78 "B" "mid"
26.58 "B" "thick"
27.27 "B" "mid"
27.14 "B" "thick"
28.98 "A" "thick"
29.43 "A" "thin"
28.54 "A" "mid"
28.8 "A" "mid"
29.47 "A" "mid"
29.38 "A" "mid"
28.54 "A" "thin"
29.68 "A" "thick"
29.19 "A" "mid"
28.79 "A" "mid"
30.08 "A" "thin"
29.4 "A" "thin"
28.63 "A" "thick"
28.76 "A" "mid"
28.76 "A" "thick"
30.31 "A" "thin"
28.86 "A" "mid"
27.04 "B" "mid"
28.71 "B" "thin"
27 "B" "thick"
26.77 "B" "mid"
29.19 "B" "thin"
26.59 "B" "thick"
29.48 "A" "thin"
28.15 "A" "mid"
28.98 "A" "thick"
29.91 "A" "thin"
28.94 "A" "thick"
29.38 "A" "thick"
28.86 "A" "thick"
28.47 "A" "mid"
29.4 "A" "thin"
28.85 "A" "mid"
29.35 "A" "thick"
30.17 "A" "thin"
28.54 "A" "thick"
28.95 "B" "thin"
26.58 "A" "mid"
26.7 "B" "mid"
25.51 "B" "mid"
29.09 "B" "thin"
29.92 "A" "thick"
28.34 "A" "mid"
30.67 "A" "thin"
29.21 "A" "thick"
29.08 "A" "mid"
26.26 "B" "thick"
29.43 "B" "thin"
26.78 "B" "mid"
26.28 "B" "mid"
29.21 "B" "thin"
26.16 "B" "thick"
26.47 "B" "mid"
26.71 "B" "mid"
26.7 "B" "thick"
29.14 "B" "thin"
28.78 "B" "thin"
26.73 "B" "thick"
26.28 "B" "mid"
26.42 "B" "thick"
28.42 "A" "mid"
31.06 "A" "thin"
28.68 "A" "thick"
29.34 "A" "thin"
29.01 "A" "mid"
29.16 "A" "thick"
29.53 "A" "thick"
29.51 "A" "thin"
28.75 "A" "thin"
28.19 "A" "thick"
28.98 "A" "mid"
29.57 "A" "thin"
29.27 "A" "thin"
28.8 "A" "mid"
28.48 "A" "thick"
28.2 "A" "mid"
29.04 "A" "thick"
28.79 "A" "mid"
29.68 "A" "thin"
29.51 "A" "thin"
28.93 "A" "mid"
29.19 "A" "thick"
28.61 "A" "thick"
28.29 "A" "mid"
26.48 "B" "thick"
29.33 "B" "thin"
26.58 "B" "mid"
26.27 "B" "thick"
26.65 "B" "mid"
27.27 "B" "mid"
27.04 "B" "thick"
28.9 "B" "mid"
27.15 "B" "mid"
27.22 "B" "thick"
29.14 "B" "thin"
29.23 "B" "thin"
26.64 "B" "mid"
28.82 "B" "thin"
26.77 "B" "thick"
28.32 "B" "thin"
29 "A" "thick"
29.78 "A" "thick"
29.81 "A" "mid"
29.86 "A" "thin"
27.12 "B" "mid"
26.55 "B" "thick"
26.53 "B" "mid"
26.77 "B" "thick"
28.64 "B" "thin"
27.05 "B" "mid"
26.7 "B" "thick"
28.52 "B" "thin"
28.44 "B" "thin"
29.41 "B" "thin"
26.97 "B" "mid"
26.6 "B" "thick"
27.52 "B" "mid"
27.04 "B" "thin"
29.3 "A" "thick"
30.16 "A" "thin"
28.79 "A" "mid"
29.45 "A" "thin"
28.77 "A" "thick"
28.36 "A" "mid"
29.04 "B" "thin"
26.76 "B" "thick"
26.79 "B" "mid"
29.34 "A" "thick"
28.96 "A" "mid"
29.71 "A" "thin"
26.3 "B" "mid"
26.6 "B" "thick"
26.54 "B" "mid"
28.94 "B" "thin"
28.86 "B" "thin"
26.7 "B" "thick"
28.79 "B" "thick"
26.6 "B" "mid"
28.71 "A" "thin"
30.37 "A" "thick"
28.63 "A" "mid"
29.09 "A" "thick"
28.67 "A" "mid"
30.02 "A" "thick"
28.76 "A" "mid"
29.86 "A" "thin"
28.73 "A" "thin"
28.97 "B" "thin"
26.81 "B" "mid"
27.1 "B" "thick"
29.36 "A" "thick"
29.34 "A" "thin"
28.9 "A" "mid"
25.78 "B" "mid"
28.84 "B" "thin"
26.36 "B" "thick"
26.11 "B" "thick"
29.14 "B" "thin"
26.71 "B" "mid"
